id,symbol,name,marketcap
128,AUROPHARMA,Aurobindo Pharma Limited,6379407
129,UCOBANK,UCO Bank,6241010
130,BANKINDIA,Bank of India,6239431
131,PERSISTENT,Persistent Systems Limited,6138199
132,MUTHOOTFIN,Muthoot Finance Limited,5943399
133,NMDC,NMDC Limited,5912497
134,ALKEM,Alkem Laboratories Limited,5908902
135,PIIND,PI Industries Limited,5867774
136,LTTS,L&T Technology Services Limited,5797938
137,GICRE,General Insurance Corporation of India,5785134
138,TATACOMM,Tata Communications Limited,5729640
139,JSL,Jindal Stainless Limited,5718341
140,MRF,MRF Limited,5657148
141,SAIL,Steel Authority of India Limited,5545230
142,PGHH,Procter & Gamble Hygiene and Health Care Limited,5495099
143,SUZLON,Suzlon Energy Limited,5495023
144,LINDEINDIA,Linde India Limited,5465738
145,SUPREMEIND,Supreme Industries Limited,5376031
146,CONCOR,Container Corporation of India Limited,5374585
147,OBEROIRLTY,Oberoi Realty Limited,5366224
148,ASTRAL,Astral Limited,5349035
149,IDFCFIRSTB,IDFC First Bank Limited,5330723
150,RVNL,Rail Vikas Nigam Limited,5273016
151,BHARATFORG,Bharat Forge Limited,5259289
152,CENTRALBK,Central Bank of India,5191202
153,JSWINFRA,JSW Infrastructure Limited,5152354
154,POLICYBZR,PB Fintech Limited,5072655
155,ASHOKLEY,Ashok Leyland Limited,5028460
156,THERMAX,Thermax Limited,4995449
157,PHOENIXLTD,The Phoenix Mills Limited,4972550
158,GMRINFRA,GMR Airports Infrastructure Limited,4925331
159,TATAELXSI,Tata Elxsi Limited,4848314
160,PATANJALI,Patanjali Foods Limited,4844939
161,SJVN,SJVN Limited,4770771
162,PRESTIGE,Prestige Estates Projects Limited,4690081
163,ACC,ACC Limited,4679095
164,NYKAA,FSN E-Commerce Ventures Limited,4623971
165,SUNDARMFIN,Sundaram Finance Limited,4598255
166,UBL,United Breweries Limited,4589941
167,ABCAPITAL,Aditya Birla Capital Limited,4560333
168,MPHASIS,MphasiS Limited,4511862
169,BALKRISIND,Balkrishna Industries Limited,4479836
170,DIXON,Dixon Technologies (India) Limited,4474207
171,MAHABANK,Bank of Maharashtra,4415236
172,KALYANKJIL,Kalyan Jewellers India Limited,4406567
173,SCHAEFFLER,Schaeffler India Limited,4394243
174,AWL,Adani Wilmar Limited,4177167
175,APLAPOLLO,APL Apollo Tubes Limited,4151629
176,TATATECH,Tata Technologies Limited,4140253
177,SONACOMS,Sona BLW Precision Forgings Limited,4139986
178,KPITTECH,KPIT Technologies Limited,4074874
179,FACT,Fertilizers and Chemicals Travancore Limited,4063288
180,PSB,Punjab & Sind Bank,4049727
181,PETRONET,Petronet LNG Limited,3948000
182,L&TFH,L&T Finance Holdings Limited,3938748
183,UNOMINDA,UNO Minda Limited,3931360
184,PAGEIND,Page Industries Limited,3842616
185,MRPL,Mangalore Refinery and Petrochemicals Limited,3830305
186,AUBANK,AU Small Finance Bank Limited,3780652
187,MAZDOCK,Mazagon Dock Shipbuilders Limited,3759703
188,HUDCO,Housing & Urban Development Corporation Limited,3748558
189,GUJGASLTD,Gujarat Gas Limited,3746563
190,NIACL,The New India Assurance Company Limited,3742608
191,CRISIL,CRISIL Limited,3705606
192,AIAENG,AIA Engineering Limited,3692878
193,FEDERALBNK,The Federal Bank  Limited,3658947
194,IREDA,Indian Renewable Energy Development Agency Limited,3652672
195,VOLTAS,Voltas Limited,3651479
196,DALBHARAT,Dalmia Bharat Limited,3642456
197,POONAWALLA,Poonawalla Fincorp Limited,3604841
198,MEDANTA,Global Health Limited,3546857
199,IRB,IRB Infrastructure Developers Limited,3535835
200,3MINDIA,3M India Limited,3513953
201,MFSL,Max Financial Services Limited,3458740
202,M&MFIN,Mahindra & Mahindra Financial Services Limited,3444657
203,UPL,UPL Limited,3422771
204,HONAUT,Honeywell Automation India Limited,3420542
205,BSE,BSE Limited,3405934
206,FLUOROCHEM,Gujarat Fluorochemicals Limited,3402439
207,COFORGE,Coforge Limited,3401423
208,LICHSGFIN,LIC Housing Finance Limited,3360610
209,GLAXO,GlaxoSmithKline Pharmaceuticals Limited,3297658
210,DELHIVERY,Delhivery Limited,3282747
211,BDL,Bharat Dynamics Limited,3210904
212,STARHEALTH,Star Health and Allied Insurance Company Limited,3180723
213,FORTIS,Fortis Healthcare Limited,3172334
214,BIOCON,Biocon Limited,3171385
215,COROMANDEL,Coromandel International Limited,3165409
216,NLCINDIA,NLC India Limited,3162918
217,TATAINVEST,Tata Investment Corporation Limited,3159145
218,JKCEMENT,JK Cement Limited,3149570
219,IPCALAB,IPCA Laboratories Limited,3139336
220,METROBRAND,Metro Brands Limited,3137624
221,KEI,KEI Industries Limited,3122173
222,ESCORTS,Escorts Kubota Limited,3068868
223,LLOYDSME,Lloyds Metals And Energy Limited,3041626
224,GLAND,Gland Pharma Limited,3039277
225,IGL,Indraprastha Gas Limited,3015603
226,NAM-INDIA,Nippon Life India Asset Management Limited,2968239
227,APOLLOTYRE,Apollo Tyres Limited,2962428
228,JUBLFOOD,Jubilant Foodworks Limited,2961715
229,POWERINDIA,Hitachi Energy India Limited,2954723
230,MSUMI,Motherson Sumi Wiring India Limited,2922352
231,BANDHANBNK,Bandhan Bank Limited,2899653
232,DEEPAKNTR,Deepak Nitrite Limited,2899034
233,ZFCVINDIA,ZF Commercial Vehicle Control Systems India Limited,2879459
234,AJANTPHARM,Ajanta Pharma Limited,2858280
235,KPRMILL,K.P.R. Mill Limited,2845431
236,SYNGENE,Syngene International Limited,2824356
237,EIHOTEL,EIH Limited,2811012
238,APARINDS,Apar Industries Limited,2803307
239,NATIONALUM,National Aluminium Company Limited,2801782
240,TATACHEM,Tata Chemicals Limited,2753661
241,GLENMARK,Glenmark Pharmaceuticals Limited,2704632
242,HINDCOPPER,Hindustan Copper Limited,2688810
243,GODREJIND,Godrej Industries Limited,2634437
244,NH,Narayana Hrudayalaya Ltd.,2623584
245,BLUESTARCO,Blue Star Limited,2618916
246,EXIDEIND,Exide Industries Limited,2588675
247,ENDURANCE,Endurance Technologies Limited,2569910
248,JBCHEPHARM,JB Chemicals & Pharmaceuticals Limited,2561335
249,PAYTM,One 97 Communications Limited,2558494
250,ANGELONE,Angel One Limited,2558049
251,MOTILALOFS,Motilal Oswal Financial Services Limited,2482043
252,ITI,ITI Limited,2428161
253,360ONE,360 ONE WAM LIMITED,2423682
254,CARBORUNIV,Carborundum Universal Limited,2412715
255,AARTIIND,Aarti Industries Limited,2412646
256,SUNTV,Sun TV Network Limited,2365493
257,KIOCL,KIOCL Limited,2363544
258,ISEC,ICICI Securities Limited,2352879
259,RADICO,Radico Khaitan Limited,2310267
260,SUNDRMFAST,Sundram Fasteners Limited,2297964
261,CREDITACC,CREDITACCESS GRAMEEN LIMITED,2296679
262,COCHINSHIP,Cochin Shipyard Limited,2293538
263,HATSUN,Hatsun Agro Product Limited,2253099
264,MANYAVAR,Vedant Fashions Limited,2250177
265,CYIENT,Cyient Limited,2212610
266,GET&D,GE T&D India Limited,2171915
267,BRIGADE,Brigade Enterprises Limited,2161466
268,TIMKEN,Timken India Limited,2150880
269,NBCC,NBCC (India) Limited,2140200
270,JBMA,JBM Auto Limited,2133356
271,GILLETTE,Gillette India Limited,2124426
272,KANSAINER,Kansai Nerolac Paints Limited,2119975
273,LAURUSLABS,Laurus Labs Limited,2114633
274,GRINDWELL,Grindwell Norton Limited,2104732
275,FIVESTAR,Five-Star Business Finance Limited,2102820
276,SWANENERGY,Swan Energy Limited,2100004
277,CHOLAHLDNG,Cholamandalam Financial Holdings Limited,2087146
278,IRCON,Ircon International Limited,2065843
279,SKFINDIA,SKF India Limited,2055952
280,BSOFT,BIRLASOFT LIMITED,2047456
281,ASTERDM,Aster DM Healthcare Limited,2044507
282,RELAXO,Relaxo Footwears Limited,2034575
283,SONATSOFTW,Sonata Software Limited,2025649
284,GSPL,Gujarat State Petronet Limited,2011414
285,RATNAMANI,Ratnamani Metals & Tubes Limited,1958511
286,ABFRL,Aditya Birla Fashion and Retail Limited,1950972
287,APLLTD,Alembic Pharmaceuticals Limited,1935754
288,PFIZER,Pfizer Limited,1919094
289,RAMCOCEM,The Ramco Cements Limited,1915268
290,SIGNATURE,Signatureglobal (India) Limited,1909821
291,PEL,Piramal Enterprises Limited,1908181
292,ELGIEQUIP,Elgi Equipments Limited,1906842
293,LALPATHLAB,Dr. Lal Path Labs Ltd.,1888979
294,EMAMILTD,Emami Limited,1874113
295,SANOFI,Sanofi India Limited,1868693
296,JYOTICNC,Jyoti CNC Automation Limited,1868167
297,TRIDENT,Trident Limited,1862572
298,CASTROLIND,Castrol India Limited,1839273
299,KAJARIACER,Kajaria Ceramics Limited,1839194
300,KAYNES,Kaynes Technology India Limited,1835695
301,CENTURYTEX,Century Textiles & Industries Limited,1820528
302,CHALET,Chalet Hotels Limited,1814952
303,DEVYANI,Devyani International Limited,1814215
304,CDSL,Central Depository Services (India) Limited,1788988
305,KEC,KEC International Limited,1784836
306,SCHNEIDER,Schneider Electric Infrastructure Limited,1771880
307,IDFC,IDFC Limited,1771183
308,BATAINDIA,Bata India Limited,1753373
309,CIEINDIA,CIE Automotive India Limited,1751895
310,KPIL,Kalpataru Projects International Limited,1737930
311,RRKABEL,R R Kabel Limited,1736224
312,SUMICHEM,Sumitomo Chemical India Limited,1735779
313,NATCOPHARM,Natco Pharma Limited,1729861
314,SUVENPHAR,Suven Pharmaceuticals Limited,1723659
315,CROMPTON,Crompton Greaves Consumer Electricals Limited,1720311
316,TRITURBINE,Triveni Turbine Limited,1706045
317,PPLPHARMA,Piramal Pharma Limited,1705280
318,INOXWIND,Inox Wind Limited,1700147
319,ACE,Action Construction Equipment Limited,1698900
320,ATUL,Atul Limited,1690104
321,CGCL,Capri Global Capital Limited,1683702
322,TVSHLTD,TVS Holdings Limited,1651921
323,SHYAMMETL,Shyam Metalics and Energy Limited,1650646
324,NUVAMA,Nuvama Wealth Management Limited,1649150
325,KIMS,Krishna Institute of Medical Sciences Limited,1647972
326,CELLO,Cello World Limited,1642668
327,PNBHOUSING,PNB Housing Finance Limited,1635685
328,REDINGTON,Redington Limited,1629609
329,LAXMIMACH,Lakshmi Machine Works Limited,1622993
330,JYOTHYLAB,Jyothy Labs Limited,1615534
331,CESC,CESC Limited,1612556
332,GODFRYPHLP,Godfrey Phillips India Limited,1606196
333,NSLNISP,NMDC Steel Limited,1603041
334,RITES,RITES Limited,1595124
335,CONCORDBIO,Concord Biotech Limited,1591003
336,INDIAMART,Indiamart Intermesh Limited,1586718
337,AEGISCHEM,Aegis Logistics Limited,1567742
338,OLECTRA,Olectra Greentech Limited,1550136
339,WHIRLPOOL,Whirlpool of India Limited,1549676
340,ANANDRATHI,Anand Rathi Wealth Limited,1545284
341,NAVINFLUOR,Navin Fluorine International Limited,1543327
342,JWL,Jupiter Wagons Limited,1542597
343,APTUS,Aptus Value Housing Finance India Limited,1542424
344,FINCABLES,Finolex Cables Limited,1530923
345,FINPIPE,Finolex Industries Limited,1529165
346,POLYMED,Poly Medicure Limited,1525167
347,VINATIORGA,Vinati Organics Limited,1511513
348,INTELLECT,Intellect Design Arena Limited,1500383
349,JAIBALAJI,Jai Balaji Industries Limited,1494204
350,J&KBANK,The Jammu & Kashmir Bank Limited,1477787
351,KARURVYSYA,Karur Vysya Bank Limited,1469141
352,BLUEDART,Blue Dart Express Limited,1467324
353,MANAPPURAM,Manappuram Finance Limited,1465602
354,AFFLE,Affle (India) Limited,1460558
355,NCC,NCC Limited,1458802
356,RBLBANK,RBL Bank Limited,1454055
357,TTML,Tata Teleservices (Maharashtra) Limited,1446647
358,BASF,BASF India Limited,1444463
359,VGUARD,V-Guard Industries Limited,1438542
360,CAMS,Computer Age Management Services Limited,1432841
361,GESHIP,The Great Eastern Shipping Company Limited,1429456
362,CENTURYPLY,Century Plyboards (India) Limited,1422018
363,CLEAN,Clean Science and Technology Limited,1412426
364,JINDALSAW,Jindal Saw Limited,1383576
365,FSL,Firstsource Solutions Limited,1377602
366,ZENSARTECH,Zensar Technologies Limited,1374691
367,SOBHA,Sobha Limited,1374079
368,CHAMBLFERT,Chambal Fertilizers & Chemicals Limited,1370231
369,DATAPATTNS,Data Patterns (India) Limited,1355932
370,CHENNPETRO,Chennai Petroleum Corporation Limited,1350329
371,WELCORP,Welspun Corp Limited,1348631
372,MGL,Mahanagar Gas Limited,1347378
373,KSB,Ksb Limited,1342156
374,WELSPUNLIV,Welspun Living Limited,1337208
375,HSCL,Himadri Speciality Chemical Limited,1332220
376,DCMSHRIRAM,DCM Shriram Limited,1332137
377,ASTRAZEN,AstraZeneca Pharma India Limited,1332113
378,ZEEL,Zee Entertainment Enterprises Limited,1330800
379,BEML,BEML Limited,1325836
380,HFCL,HFCL Limited,1320793
381,RAINBOW,Rainbow Childrens Medicare Limited,1317035
382,ABSLAMC,Aditya Birla Sun Life AMC Limited,1310809
383,HONASA,Honasa Consumer Limited,1304758
384,ASAHIINDIA,Asahi India Glass Limited,1303813
385,PVRINOX,PVR INOX Limited,1301508
386,ARE&M,Amara Raja Energy & Mobility Limited,1298858
387,IIFL,IIFL Finance Limited,1297646
388,BLS,BLS International Services Limited,1288131
389,ALOKINDS,Alok Industries Limited,1283515
390,VTL,Vardhman Textiles Limited,1279020
391,GRINFRA,G R Infraprojects Limited,1264886
392,HBLPOWER,HBL Power Systems Limited,1258465
393,WESTLIFE,WESTLIFE FOODWORLD LIMITED,1254428
394,RKFORGE,Ramkrishna Forgings Limited,1249615
395,KIRLOSENG,Kirloskar Oil Engines Limited,1245823
396,TITAGARH,TITAGARH RAIL SYSTEMS LIMITED,1237652
397,FINEORG,Fine Organic Industries Limited,1237084
398,AMBER,Amber Enterprises India Limited,1232416
399,BIKAJI,Bikaji Foods International Limited,1227999
400,SWSOLAR,Sterling and Wilson Renewable Energy Limited,1219488
401,RAYMOND,Raymond Limited,1203853
402,IEX,Indian Energy Exchange Limited,1197989
403,SPARC,Sun Pharma Advanced Research Company Limited,1195132
404,GRAPHITE,Graphite India Limited,1179189
405,SPLPETRO,Supreme Petrochem Limited,1174224
406,RAILTEL,Railtel Corporation Of India Limited,1167413
407,INGERRAND,Ingersoll Rand (India) Limited,1161813
408,ECLERX,eClerx Services Limited,1160577
409,JUNIPER,Juniper Hotels Limited,1151561
410,ERIS,Eris Lifesciences Limited,1147194
411,RHIM,RHI MAGNESITA INDIA LIMITED,1141230
412,ENGINERSIN,Engineers India Limited,1135045
413,MAHSEAMLES,Maharashtra Seamless Limited,1133835
414,HAPPSTMNDS,Happiest Minds Technologies Limited,1133534
415,JKTYRE,JK Tyre & Industries Limited,1126456
416,TEJASNET,Tejas Networks Limited,1120378
417,PNCINFRA,PNC Infratech Limited,1119409
418,NEWGEN,Newgen Software Technologies Limited,1114384
419,INOXINDIA,INOX India Limited,1109720
420,TANLA,Tanla Platforms Limited,1102167
421,BIRLACORPN,Birla Corporation Limited,1096325
422,BBTC,Bombay Burmah Trading Corporation Limited,1093849
423,GMDCLTD,Gujarat Mineral Development Corporation Limited,1093761
424,NUVOCO,Nuvoco Vistas Corporation Limited,1093612
425,AKZOINDIA,Akzo Nobel India Limited,1086000
426,CEATLTD,CEAT Limited,1085033
427,RPOWER,Reliance Power Limited,1076659
428,RELINFRA,Reliance Infrastructure Limited,1073317
429,GPIL,Godawari Power And Ispat limited,1067376
430,ELECON,Elecon Engineering Company Limited,1064497
431,ANANTRAJ,Anant Raj Limited,1061667
432,ELECTCAST,Electrosteel Castings Limited,1059587
433,DBREALTY,D B Realty Limited,1055949
434,EQUITASBNK,Equitas Small Finance Bank Limited,1050338
435,KFINTECH,Kfin Technologies Limited,1048566
436,BAJAJELEC,Bajaj Electricals Limited,1045577
437,LATENTVIEW,Latent View Analytics Limited,1045477
438,JPPOWER,Jaiprakash Power Ventures Limited,1045152
439,GRANULES,Granules India Limited,1042549
440,AAVAS,Aavas Financiers Limited,1041202
441,AETHER,Aether Industries Limited,1035218
442,UTIAMC,UTI Asset Management Company Limited,1034578
443,LEMONTREE,Lemon Tree Hotels Limited,1034278
444,JKLAKSHMI,JK Lakshmi Cement Limited,1030437
445,GPPL,Gujarat Pipavav Port Limited,1027552
446,SFL,Sheela Foam Limited,1025777
447,PCBL,PCBL LIMITED,1010467
448,MAPMYINDIA,C.E. Info Systems Limited,1007848
449,ROUTE,ROUTE MOBILE LIMITED,1006029
450,CANFINHOME,Can Fin Homes Limited,1002584
451,CUB,City Union Bank Limited,1001018
452,SAPPHIRE,Sapphire Foods India Limited,999490
453,CAPLIPOINT,Caplin Point Laboratories Limited,998900
454,MINDACORP,Minda Corporation Limited,998635
455,MMTC,MMTC Limited,996750
456,PTCIL,PTC Industries Limited,995632
457,IFCI,IFCI Limited,987132
458,PRAJIND,Praj Industries Limited,979632
459,VOLTAMP,Voltamp Transformers Limited,978422
460,SCI,Shipping Corporation Of India Limited,972588
461,USHAMART,Usha Martin Limited,969841
462,EIDPARRY,EID Parry India Limited,968713
463,RTNINDIA,RattanIndia Enterprises Limited,956531
464,ANURAS,Anupam Rasayan India Limited,955631
465,GLS,Glenmark Life Sciences Limited,951607
466,DOMS,DOMS Industries Limited,950210
467,INFIBEAM,Infibeam Avenues Limited,947426
468,FORCEMOT,FORCE MOTORS LTD,944104
469,ZYDUSWELL,Zydus Wellness Limited,938956
470,STARCEMENT,Star Cement Limited,938482
471,GODREJAGRO,Godrej Agrovet Limited,936067
472,TTKPRESTIG,TTK Prestige Limited,930516
473,ALKYLAMINE,Alkyl Amines Chemicals Limited,927309
474,GNFC,Gujarat Narmada Valley Fertilizers and Chemicals Limited,918526
475,KPIGREEN,KPI Green Energy Limited,918104
476,CRAFTSMAN,Craftsman Automation Limited,911665
477,MAHLIFE,Mahindra Lifespace Developers Limited,909586
478,REDTAPE,Redtape Limited,909299
479,JUBLPHARMA,Jubilant Pharmova Limited,907743
480,NETWEB,Netweb Technologies India Limited,906166
481,NETWORK18,Network18 Media & Investments Limited,902470
482,PRSMJOHNSN,Prism Johnson Limited,898995
483,METROPOLIS,Metropolis Healthcare Limited,882946
484,CERA,Cera Sanitaryware Limited,882123
485,SBFC,SBFC Finance Limited,878290
486,GRSE,Garden Reach Shipbuilders & Engineers Limited,875979
487,KIRLOSBROS,Kirloskar Brothers Limited,869567
488,UJJIVANSFB,Ujjivan Small Finance Bank Limited,867732
489,SHRIPISTON,Shriram Pistons & Rings Limited,863663
490,RENUKA,Shree Renuka Sugars Limited,845010
491,RATEGAIN,Rategain Travel Technologies Limited,844619
492,WOCKPHARMA,Wockhardt Limited,844086
493,SAFARI,Safari Industries (India) Limited,841600
494,HAPPYFORGE,Happy Forgings Limited,838235
495,TECHNOE,Techno Electric & Engineering Company Limited,830550
496,SHOPERSTOP,Shoppers Stop Limited,830119
497,IBULHSGFIN,Indiabulls Housing Finance Limited,828798
498,SYRMA,Syrma SGS Technology Limited,826481
499,TEGA,Tega Industries Limited,825772
500,ACI,Archean Chemical Industries Limited,825526
501,MEDPLUS,Medplus Health Services Limited,822235
502,MAHSCOOTER,Maharashtra Scooters Limited,819468
503,NEULANDLAB,Neuland Laboratories Limited,811125
504,AZAD,Azad Engineering Limited,808577
505,ESABINDIA,Esab India Limited,808449
506,GALAXYSURF,Galaxy Surfactants Limited,805266
507,ZENTEC,Zen Technologies Limited,803883
508,JSWHL,JSW Holdings Limited,800533
509,TV18BRDCST,TV18 Broadcast Limited,795463
510,HOMEFIRST,Home First Finance Company India Limited,794698
511,MHRIL,Mahindra Holidays & Resorts India Limited,792127
512,POWERMECH,Power Mech Projects Limited,792067
513,KTKBANK,The Karnataka Bank Limited,789692
514,JLHL,Jupiter Life Line Hospitals Limited,784497
515,MASTEK,Mastek Limited,784124
516,PGHL,Procter & Gamble Health Limited,781814
517,THOMASCOOK,Thomas Cook  (India)  Limited,780832
518,CCL,CCL Products (India) Limited,779943
519,GSFC,Gujarat State Fertilizers & Chemicals Limited,779621
520,RAJESHEXPO,Rajesh Exports Limited,778158
521,QUESS,Quess Corp Limited,772843
522,VARROC,Varroc Engineering Limited,769814
523,TMB,Tamilnad Mercantile Bank Limited,768955
524,MANINFRA,Man Infraconstruction Limited,758650
525,EASEMYTRIP,Easy Trip Planners Limited,758433
526,VIPIND,VIP Industries Limited,745908
527,IONEXCHANG,ION Exchange (India) Limited,743086
528,RESPONIND,Responsive Industries Limited,740372
529,MIDHANI,Mishra Dhatu Nigam Limited,738588
530,EMIL,Electronics Mart India Limited,736986
531,GAEL,Gujarat Ambuja Exports Limited,733185
532,BALRAMCHIN,Balrampur Chini Mills Limited,730231
533,STAR,Strides Pharma Science Limited,721137
534,JUBLINGREA,Jubilant Ingrevia Limited,721066
535,SARDAEN,Sarda Energy & Minerals Limited,714805
536,JMFINANCIL,JM Financial Limited,713813
537,SOUTHBANK,The South Indian Bank Limited,712840
538,HEG,HEG Limited,711720
539,CHEMPLASTS,Chemplast Sanmar Limited,711493
540,ARVIND,Arvind Limited,707580
541,RCF,Rashtriya Chemicals and Fertilizers Limited,707540
542,NAVA,NAVA LIMITED,704681
543,ALLCARGO,Allcargo Logistics Limited,703672
544,ICIL,Indo Count Industries Limited,701310
545,IWEL,Inox Wind Energy Limited,699512
546,KNRCON,KNR Constructions Limited,692681
547,FDC,FDC Limited,691780
548,RELIGARE,Religare Enterprises Limited,689942
549,GRAVITA,Gravita India Limited,689516
550,RUSTOMJEE,Keystone Realtors Limited,688967
